blue,green,red,nir,swir1,swir2,ndvi,timestamp,place
9635.9,10725.15,10704.75,17593.0,14453.7,11738.75,0.23744889736114358,1984-04-17 10:36:55.069,inside
9574.272727272728,10542.272727272728,10549.272727272728,16422.545454545456,14101.545454545454,11738.545454545454,0.20649801535922024,1984-04-17 10:36:55.069,outside
10746.0,11779.620689655172,11768.310344827587,18350.58620689655,15293.448275862069,12721.413793103447,0.21584429364606578,1984-04-17 10:37:18.900,inside
9327.333333333334,10213.416666666666,10081.75,16292.25,12886.75,10679.0,0.220795532393012,1984-04-17 10:37:18.900,outside
9426.0,9822.0,9478.0,15214.0,10722.0,9014.0,0.23230196014903612,1984-04-26 10:31:06.443,inside
9319.333333333334,10167.666666666666,9479.0,19727.666666666668,11779.0,8962.333333333334,0.3456303305983564,1984-04-26 10:31:06.443,outside
9306.0,10018.0,9481.5,15279.5,10900.0,8870.5,0.23411135227383284,1984-05-03 10:36:56.840,inside
9228.666666666666,10102.333333333334,9552.666666666666,20102.0,11390.666666666666,8746.666666666666,0.35366496779562856,1984-05-03 10:36:56.840,outside
8336.666666666666,9097.666666666666,8678.333333333334,18685.0,11533.0,8877.0,0.3448901994346727,1984-05-12 10:31:28.355,inside
8439.0,9261.5,8796.75,19333.25,11435.25,8877.0,0.36634690955701427,1984-05-12 10:31:28.355,outside
35348.78,34401.18,34655.06,36357.38,15733.6,14164.84,0.02397398039347958,1984-06-04 10:38:15.015,inside
35389.52272727273,34401.931818181816,34641.22727272727,36325.86363636364,15794.181818181818,14244.522727272728,0.023742645191796682,1984-06-04 10:38:15.015,outside
13105.767441860466,13628.0,12981.255813953489,20264.39534883721,13537.116279069767,10903.488372093023,0.2189818565574061,1984-06-20 10:38:31.140,inside
15483.40625,16165.4375,15560.3125,22594.90625,15938.3125,13132.75,0.1847296790687926,1984-06-20 10:38:31.140,outside
50217.666666666664,27179.666666666668,27692.0,31897.0,26828.0,22911.0,0.07101076960851799,1984-06-29 10:32:26.836,inside
19585.0,25930.6,26084.6,30504.6,31877.2,21717.8,0.08283204520626347,1984-06-29 10:32:26.836,outside
13608.411764705883,14807.882352941177,14658.529411764706,23549.58823529412,18143.941176470587,16183.176470588236,0.23574183287663092,1984-07-06 10:38:17.897,inside
12708.4,13863.6,13539.5,22850.6,16833.1,14496.1,0.26425521576639305,1984-07-06 10:38:17.897,outside
11289.25,12480.875,12230.75,20952.25,15204.25,12988.5,0.26390283203123505,1984-07-06 10:38:41.727,inside
9501.666666666666,10499.0,10188.0,19228.5,13062.833333333334,10677.666666666666,0.3091865075010958,1984-07-06 10:38:41.727,outside
18256.0,22471.5,22459.5,29008.5,22560.0,19276.0,0.14374634647920026,1984-07-15 10:32:39.752,inside
17668.5,20894.375,20733.875,27432.375,21310.75,18184.5,0.1566870670673163,1984-07-15 10:32:39.752,outside
19278.62,18093.28,18096.1,22587.18,19352.44,16248.32,0.11595324983292218,1984-09-08 10:40:13.631,inside
21641.386363636364,19320.363636363636,19405.5,23276.772727272728,19639.477272727272,16348.318181818182,0.0978906944952747,1984-09-08 10:40:13.631,outside
11670.0,12590.0,12062.0,19964.0,14706.0,11895.0,0.24673702616623994,1984-09-24 10:40:15.364,inside
10538.666666666666,11150.0,10927.0,15044.666666666666,12022.333333333334,9692.666666666666,0.1485782927824314,1984-09-24 10:40:15.364,outside
9731.0,9917.0,9302.0,15352.0,10037.0,8530.0,0.24539628457856738,1984-10-03 10:34:04.206,inside
9787.0,10040.0,9836.0,15457.0,11317.0,8988.0,0.20911715027343897,1984-10-03 10:34:04.206,outside
9075.0,9158.5,8954.5,12300.0,9516.0,8603.5,0.15663512404006108,1985-02-15 10:40:10.644,inside
9075.0,9159.0,9553.0,12622.0,10282.0,8764.0,0.1383990980834273,1985-02-15 10:40:10.644,outside
9136.5,9162.5,8941.5,12277.0,9494.5,8429.5,0.15642436707567542,1985-02-15 10:40:34.478,inside
9139.0,9165.0,9546.0,12599.0,10041.0,8748.0,0.1378640776699029,1985-02-15 10:40:34.478,outside
12498.466666666667,13178.833333333334,13202.133333333333,16487.966666666667,15778.333333333334,13488.366666666667,0.1070659784500157,1985-02-24 10:34:23.986,inside
12398.23076923077,12931.461538461539,12668.538461538461,15437.923076923076,14878.307692307691,12840.692307692309,0.09464405683126478,1985-02-24 10:34:23.986,outside
8616.0,9110.0,8766.5,12713.5,9994.0,8400.0,0.18353248167533293,1985-03-12 10:34:23.149,inside
8860.0,9363.0,9087.0,12128.0,9994.0,8962.0,0.14334197501767618,1985-03-12 10:34:23.149,outside
8429.333333333334,9679.5,8936.5,21051.0,11544.166666666666,8919.0,0.4001901424928263,1985-07-25 10:39:35.649,inside
8541.8,9703.2,9011.8,21048.8,11236.2,8790.4,0.39733451796075736,1985-07-25 10:39:35.649,outside
8460.5,9652.5,8946.5,20936.166666666668,11549.166666666666,8940.5,0.3973302316858501,1985-07-25 10:39:59.490,inside
8591.4,9706.6,9052.8,21023.0,11288.8,8817.4,0.3952343659170532,1985-07-25 10:39:59.490,outside
10432.166666666666,11846.166666666666,11726.666666666666,21196.0,16796.833333333332,12885.333333333334,0.2909600540323836,1985-08-10 10:39:26.946,inside
9183.0,10355.23076923077,10149.307692307691,20038.923076923078,14085.384615384615,10863.692307692309,0.3227670098882918,1985-08-10 10:39:26.946,outside
9260.4,10574.5,10203.2,20558.3,15077.3,11275.8,0.3335962665659034,1985-08-10 10:39:50.787,inside
